method,seed,step,train_loss,test_rmse,grad_norm
spgd,1,150,1.2665011882781982,1.126126766204834,0.0009095919667743146
spgd,1,180,1.266031265258789,1.1260145902633667,0.0014572064392268658
spgd,1,210,1.2648476362228394,1.1257168054580688,0.0023395176976919174
spgd,1,240,1.2619391679763794,1.1248464584350586,0.0037677669897675514
spgd,1,270,1.2545539140701294,1.1224796772003174,0.006039801985025406
spgd,1,300,1.2364587783813477,1.1163345575332642,0.009372196160256863
spgd,1,330,1.1964553594589233,1.1022582054138184,0.013326740823686123
spgd,1,360,1.128986120223999,1.0781643390655518,0.015870405361056328
spgd,1,390,1.0511648654937744,1.0502851009368896,0.015474274754524231
spgd,1,420,0.9850438237190247,1.026793122291565,0.013638922944664955
spgd,1,450,0.9346124529838562,1.0084599256515503,0.011845368891954422
spgd,1,480,0.8959901928901672,0.9939876198768616,0.010466912761330605
spgd,1,510,0.8650761246681213,0.9823240637779236,0.009441163390874863
spgd,1,540,0.8393735885620117,0.9728256464004517,0.008623866364359856
spgd,1,570,0.8178073763847351,0.9650720357894897,0.007931223139166832
spgd,1,600,0.7993573546409607,0.9588927030563354,0.0073411306366324425
spgd,1,630,0.7834894061088562,0.9538914561271667,0.006823372095823288
spgd,1,660,0.7695979475975037,0.9500452280044556,0.0063888560980558395
spgd,1,690,0.7573249936103821,0.9470356702804565,0.006013435777276754
spgd,1,720,0.7463586330413818,0.9447688460350037,0.005685321521013975
spgd,1,750,0.7364916801452637,0.9431145787239075,0.005388558842241764
spgd,1,780,0.7275823950767517,0.9419678449630737,0.005112308543175459
spgd,1,810,0.7195280194282532,0.9412367343902588,0.004850937053561211
spgd,1,840,0.7122446894645691,0.94083571434021,0.004602823872119188
spgd,1,870,0.7056566476821899,0.940686047077179,0.004368479363620281
spgd,1,900,0.699691116809845,0.9407175779342651,0.004148938227444887
spgd,1,930,0.6942795515060425,0.9408716559410095,0.00394482770934701
spgd,1,960,0.6893579959869385,0.9411026239395142,0.0037560700438916683
